index,user_id_maped,program_name,rating,date_,program_genre
598699,26732,Friends      The One After The uperbowl Part I,3,2017-05-14,Comedy
599193,26732,Friends     The One Where Chandler Crosses The Line,3,2017-04-11,Comedy
599682,26732,Friends      The One Where Rachel Quits,3,2017-04-02,Comedy
600173,26732,Friends      The One Where Phoebe Runs,3,2017-05-25,Comedy
600652,26732,Friends      The One With The Princess Leia Fantasy,3,2017-05-15,Comedy
601139,26732,Friends      The One With The Joke,3,2017-07-22,Comedy
601626,26732,Friends     The One With Rachel's Big Kiss,3,2017-07-13,Comedy
602111,26732,Heroes  Tabula Rasa,4,2017-07-20,Drama
602601,26732,Friends      The One With The Prom Video,3,2017-05-14,Comedy
603092,26732,Friends      The One With The Flashback,3,2017-04-06,Comedy
604078,26732,Friends      The One With Phoebe's Husband,3,2017-08-27,Comedy
604566,26732,Friends      The One With The Videotape,3,2017-08-28,Comedy
605052,26732,Friends      The One At The Beach,3,2017-07-18,Comedy
605546,26732,Friends      The One With Two Parties,3,2017-07-16,Comedy
606041,26732,Friends      The One With Barry And Mindy's Wedding,3,2017-08-28,Comedy
606531,26732,Friends      The One With The Chicken Pox,3,2017-08-28,Comedy
607516,26732,Friends      The One Where Heckles Dies,3,2017-05-13,Comedy
607997,26732,Friends      The One That Could Have Been  Part I,3,2017-07-22,Comedy
608474,26732,Friends      The One Where Underdog Gets Away,3,2017-05-22,Comedy
608963,26732,Heroes  The Fix,4,2017-07-16,Drama
609447,26732,Friends     The One Where Ross Is Fine,4,2017-07-11,Comedy
609942,26732,Friends     The One With The Ball,3,2017-04-18,Comedy
610425,26732,Friends     The One Where Everybody Finds Out,3,2017-04-18,Comedy
610908,26732,Friends      The One With The Thumb,3,2017-05-19,Comedy
611394,26732,Friends     The One With The Girl Who Hits Joey,3,2017-04-18,Comedy
611868,26732,Friends     The One With Phoebe's Uterus,3,2017-04-12,Comedy
612364,26732,Think Like A Man,4,2017-03-16,Comedy
612854,26732,Friends      The One After Vegas,3,2017-06-08,Comedy
613341,26732,Heroes,4,2017-07-19,Drama
613831,26732,Friends      The One Where Eddie Moves In,3,2017-07-16,Comedy
614311,26732,Friends      The One With The Race Car Bed,3,2017-07-17,Comedy
614794,26732,Community  (T)    Interpretive Dance,3,2017-05-03,Comedy
615274,26732,Friends      The One Where Chandler Can't Remember,3,2017-04-10,Comedy
615759,26732,Friends      The One With The Flashback,3,2017-05-14,Comedy
616242,26732,Friends     The One With The Cheap Wedding Dress,3,2017-07-13,Comedy
616723,26732,Friends      The One With The Proposal Part II,3,2017-05-25,Comedy
617214,26732,Heroes  Godsend,4,2017-07-16,Drama
617685,26732,Friends      The One With The Halloween Party,3,2017-08-28,Comedy
618169,26732,Friends     The One With All The Resolutions,3,2017-04-18,Comedy
618650,26732,Friends      The One With The Routine,3,2017-07-21,Comedy
619133,26732,Friends     The One With Phoebe's Cookies,3,2017-07-13,Comedy
619627,26732,Friends      The One With The Ick Factor,3,2017-03-28,Comedy
620113,26732,Friends      The One With The Princess Leia Fantasy,3,2017-07-17,Comedy
620592,26732,Friends     The One With The Pediatrician,4,2017-07-03,Comedy
621076,26732,Friends      The One With The creamer,3,2017-04-11,Comedy
621549,26732,Friends     The One With The Male Nanny,4,2017-07-03,Comedy
622032,26732,Friends      The One With Frank Jr.,3,2017-04-06,Comedy
622514,26732,Friends      The One With The Bullies,3,2017-03-29,Comedy
623001,26732,Friends      The One With Ross' New Girlfriend,1,2017-05-13,Comedy
623486,26732,Community  (T)    Community,3,2017-03-20,Comedy
623966,26732,Friends     The One With Chandler In A Box,1,2017-04-12,Comedy
624442,26732,Scandal  (T)    Ride  ally  Ride,4,2017-05-16,Drama
